2	4	0	7	246
3	4	1	10	194
5	2	1	9	576
1	3	0	1	362
1	5	1	9	585
1	3	0	1	839
2	4	1	8	305
4	4	1	9	749
3	4	1	4	283
5	2	1	1	961
3	2	1	10	275
2	2	0	8	607
3	4	1	1	387
2	5	0	3	367
3	4	1	10	136
4	5	0	9	854
1	5	1	5	616
1	3	0	2	884
4	5	0	8	630
5	2	0	7	186
1	2	1	6	710
3	1	1	1	713
2	2	1	7	571
5	5	1	2	556
5	1	0	3	686
5	4	1	4	328
5	5	0	3	623
5	2	1	7	774
5	2	0	7	367
5	4	1	9	617
3	2	1	10	787
5	4	1	7	241
3	5	1	1	214
1	4	0	2	183
2	1	1	4	539
1	5	0	3	427
4	3	1	9	407
4	5	1	9	883
1	2	1	10	256
2	1	0	6	533
4	1	1	10	622
2	1	1	7	110
4	1	1	6	944
2	5	1	4	665
4	2	0	1	454
1	2	1	6	662
3	5	0	6	196
5	4	1	9	891
4	4	1	8	415
4	4	1	6	526
5	2	1	2	393
5	4	0	1	205
5	2	0	3	302
2	4	0	5	970
2	4	0	6	432
1	5	1	3	294
3	2	0	7	284
4	4	1	8	757
5	3	1	4	956
3	3	0	10	758
5	3	1	6	774
5	4	0	2	456
1	4	0	7	684
1	3	1	4	924
5	5	0	8	799
3	3	1	1	391
4	4	1	10	954
3	5	1	4	532
1	1	0	6	466
2	1	1	9	776
3	3	0	3	839
5	2	0	9	801
1	4	0	7	808
2	2	1	6	269
5	2	0	6	754
1	5	0	4	145
5	4	1	9	355
1	2	1	10	791
5	2	0	7	919
4	3	0	2	170
3	4	0	3	111
4	5	0	7	691
2	1	1	10	583
2	5	0	9	376
5	4	0	7	180
4	1	0	1	985
3	4	0	3	508
1	3	0	3	454
5	5	0	10	256
4	5	1	7	909
3	2	1	3	738
2	3	0	4	257
4	3	1	2	845
2	4	0	6	474
5	5	1	3	976
5	3	0	3	369
3	4	1	8	153
2	3	0	6	879
4	2	0	5	731
2	1	1	1	410
5	3	0	1	542
1	2	1	1	451
1	3	1	4	827
4	4	1	5	807
1	2	1	4	674
4	2	0	10	333
3	5	0	1	996
5	2	1	4	756
5	1	1	3	943
4	5	0	5	225
2	4	0	6	412
3	5	0	4	667
5	5	1	4	996
4	5	0	3	917
5	3	1	1	617
5	5	0	1	963
1	5	1	6	889
5	3	1	6	955
4	4	1	7	269
5	3	0	10	590
4	4	0	4	446
2	1	1	5	375
3	1	0	7	296
4	4	1	9	349
2	3	1	6	819
4	2	1	8	299
1	4	0	6	328
2	3	1	2	364
5	2	0	4	415
4	5	0	6	517
2	2	1	5	470
1	5	1	10	369
1	2	1	7	112
5	4	0	7	192
4	5	1	3	131
5	5	1	1	687
1	3	0	1	240
2	2	1	7	592
4	1	1	9	592
4	2	1	4	734
2	3	1	7	663
3	3	1	2	796
5	3	1	4	908
4	5	0	9	550
2	5	0	5	473
4	2	0	10	317
1	2	1	9	430
2	4	0	10	889
5	3	0	10	810
3	2	0	8	656
1	5	0	3	180
4	5	0	4	418
2	4	1	8	965
3	4	1	9	707
4	3	0	4	226
3	2	0	6	169
5	3	0	6	967
3	5	0	6	324
4	4	0	6	284
2	3	1	3	783
1	5	1	10	302
2	3	1	8	413
2	3	1	10	177
2	4	0	7	245
5	3	1	8	379
1	3	0	10	814
2	5	0	6	857
3	4	0	5	954
1	5	1	10	942
3	2	1	3	316
1	2	1	9	401
2	5	0	4	930
3	1	1	1	700
4	4	1	6	417
4	5	0	1	994
4	1	0	10	532
3	1	1	6	663
1	4	1	9	169
3	2	1	9	548
5	1	0	10	923
4	4	0	7	207
1	5	0	8	232
1	3	1	1	894
5	1	0	7	305
3	4	1	8	201
3	1	1	4	633
4	1	1	5	308
4	1	1	6	884
3	4	1	6	165
3	3	0	6	301
3	4	1	7	971
4	1	1	4	337
4	3	0	1	852
1	2	0	6	830
4	5	1	5	870
5	1	1	7	739
3	3	1	3	589
4	2	0	6	290
1	2	0	3	641
3	4	0	10	684
2	1	1	2	660
2	4	1	8	318
1	2	1	5	639
4	3	1	9	335
3	5	0	8	480
2	3	1	3	547
2	2	0	4	712
5	5	0	10	270
1	2	1	9	965
1	4	0	4	347
5	2	1	4	923
2	2	1	7	943
3	4	1	3	326
4	5	0	6	196
1	4	0	8	724
5	1	0	5	984
4	1	1	1	708
3	2	1	9	417
5	1	1	4	631
2	5	1	2	524
5	3	1	4	682
1	3	0	10	950
5	1	1	2	382
4	3	0	1	351
3	4	1	4	324
5	2	1	6	616
3	2	1	2	894
5	4	1	10	836
5	2	1	6	960
3	4	1	7	585
2	5	0	3	953
4	2	0	8	763
3	2	1	10	583
2	5	0	1	342
5	5	0	10	266
1	3	0	10	389
1	3	0	9	772
2	3	1	1	177
4	4	1	7	321
4	3	0	1	982
1	4	1	8	130
5	1	1	5	825
3	3	0	1	378
4	4	0	3	533
5	3	1	2	905
5	1	0	3	512
3	5	0	8	531
3	3	0	1	743
5	4	0	1	279
4	1	1	4	796
